Year,Fleet,Value,Label,Weight,Memo,CV
1988,Cpue2,425.78506311213135,Index,1,NA,NA
1989,Cpue2,632.2348927855102,Index,1,NA,NA
1990,Cpue2,488.2092932267027,Index,1,NA,NA
1991,Cpue2,505.79180955393724,Index,1,NA,NA
1992,Cpue2,489.538096125237,Index,1,NA,NA
1993,Cpue2,451.0179504774155,Index,1,NA,NA
1994,Cpue2,409.4421399945368,Index,1,NA,NA
1995,Cpue2,405.5098426196794,Index,1,NA,NA
1996,Cpue2,348.0426447076515,Index,1,NA,NA
1997,Cpue2,321.2360710965005,Index,1,NA,NA
1998,Cpue2,336.5966252288562,Index,1,NA,NA
1999,Cpue2,314.9716799628635,Index,1,NA,NA
2000,Cpue2,457.38586581114276,Index,1,NA,NA
2001,Cpue2,297.60168406368234,Index,1,NA,NA
2002,Cpue2,442.8505519652565,Index,1,NA,NA
2003,Cpue2,301.154277954,Index,1,NA,NA
2004,Cpue2,333.02188813878064,Index,1,NA,NA
2005,Cpue2,309.3907189275497,Index,1,NA,NA
2006,Cpue2,295.18934711949595,Index,1,NA,NA
2007,Cpue2,337.26933302677315,Index,1,NA,NA
2008,Cpue2,264.45396153723493,Index,1,NA,NA
2009,Cpue2,529.5532983635009,Index,1,NA,NA
2010,Cpue2,291.440538937459,Index,1,NA,NA
2011,Cpue2,358.577442208624,Index,1,NA,NA
2012,Cpue2,336.6338470368607,Index,1,NA,NA
2013,Cpue2,377.7844526471749,Index,1,NA,NA
2014,Cpue2,609.3083663127178,Index,1,NA,NA
2015,Cpue2,373.18394003087286,Index,1,NA,NA
2016,Cpue2,300.05701617026926,Index,1,NA,NA
2017,Cpue2,301.78601583695024,Index,1,NA,NA
2018,Cpue2,447.6530208921997,Index,1,NA,NA
2019,Cpue2,441.3020928980375,Index,1,NA,NA
2020,Cpue2,422.97454632418396,Index,1,NA,NA
